pIndex	Problem	Equation	Relevant Indices	Number of Operators
1978	जागृति के पास 9 नीले गुब्बारे हैं, सैली के पास 5 नीले गुब्बारे हैं और लैला के पास 2 नीले गुब्बारे हैं। उनके पास कुल कितने नीले गुब्बारे हैं?	X = ( ( 9 + 5 ) + 2 )	[0, 1, 2]	2
1979	टॉमी के पास 60 गुब्बारे थे। उसकी माँ ने उसे उसके जन्मदिन पर 34 गुब्बारे दिए। टॉमी के पास अब कितने गुब्बारे हैं?	X = ( 60 + 34 )	[0, 1]	1
1980	टिम की बिल्ली के 6 बच्चे हुए। उसने लैला को 3 दिए। फिर सारा ने उसे 9 बिल्ली के बच्चे दिए। उसके पास अब कितने बिल्ली के बच्चे हैं?	X = ( ( 6 + 9 ) - 3 )	[0, 2, 1]	2
1981	कलश में 6 गुलाब थे। मालिनी ने अपने फूल के बगीचे से कुछ गुलाब काटे और कलश में 16 गुलाब और लगाए। कलश में अब कितने गुलाब हैं?	X = ( 16 + 6 )	[1, 0]	1
1982	खुशबू 125 रुपए की 1 कमीज़ और 65 रुपए की 1 पेंट लेकर आई। कुल मिलाकर उसने कितना पैसा खर्च किया?	X = ( 125 + 65 )	[0, 2]	1
1983	'सेल्सपर्सन औफ़ द मंथ' बनने के लिए रोज़ा ने पिछले हफ़्ते फ़ोन बुक के 10.2 पृष्ठों पर दर्ज लोगों को फ़ोन किया। इस सप्ताह, उसने उसी फ़ोन बुक के अन्य 8.6 पृष्ठों पर दर्ज लोगों को फ़ोन किया। रोज़ा ने कुल कितने पृष्ठों पर दर्ज लोगों को फ़ोन किया?	X = ( 10.2 + 8.6 )	[0, 1]	1
1984	1 हलवाई ने 90 समोसे बनाए। यदि उसने उनमें से 83 बेच दिए, तो हलवाई के पास अभी भी कितने समोसे होंगे?	X = ( 90 - 83 )	[1, 2]	1
1985	राधा 500 का नोट लेकर किराने का सामान ख़रीदने गई। उसने 100 रुपये की शक्कर और 200 रुपये का आटा ख़रीदा। अब राधा के पास कितने रुपये शेष रहे?	X = ( ( 500 - 100 ) - 200 )	[0, 1, 2]	2
1986	1 पार्क में 55 बच्चे हैं । 5 और बच्चे वहाँ आ गए । अब पार्क में बच्चों की कुल संख्या पहचानों ।	X = ( 55 + 5 )	[1, 2]	1
1987	सेब के पेड़ से बेनी ने 2 सेब और दैविक ने 9 सेब तोड़े। कुल कितने सेब तोड़े गए?	X = ( 2 + 9 )	[0, 1]	1
1989	सैली के पास 9 नारंगी गुब्बारे और 4 नीले गुब्बारे थे। उसके 2 नारंगी गुब्बारे खो गए। सैली के पास अब कितने नारंगी गुब्बारे हैं?	X = ( 9 - 2 )	[0, 2]	1
1991	श्रीमती गुप्ता ने 33 तितलियाँ देखीं। कुछ तितलियाँ लाल थीं और अन्य नारंगी थीं। यदि 20 नारंगी थीं, तो उनमें से कितनी लाल थीं?	X = ( 33 - 20 )	[0, 1]	1
1993	3 ड्रमों में 18 लीटर , 27 लीटर और 36 लीटर तेल है । कौन सा बड़े से बड़ा मापक बर्तन लेना चाहिए जो कि तीनों ड्रमों के तेल को पूरी तरह माप सके और तेल शेष न बचे ।	X = ( ( 18 + 27 ) + 36 )	[1, 2, 3]	2
1996	4.1 किलो रेत से भरे 1 ट्रक ने 1 निर्माण स्थल तक जाते हुए रास्ते में 2.4 किलो रेत गिरा दी। स्थल पहुँचने पर ट्रक में कितनी रेत बचेगी ?	X = ( 4.1 - 2.4 )	[0, 3]	1
1997	सारा के स्कूल ने इस साल बास्केटबॉल के 12 मैच खेले। टीम ने अपने अधिकतर मैच जीते। वे 4 मैच हार गए। वे कितने मैच जीते?	X = ( 12 - 4 )	[0, 1]	1
1998	मार्टा ने 2 कद्दू तोड़े। कद्दुओं का वज़न कुल 8.7 किलो था। अगर दूसरे कद्दू का वज़न 4 किलो था तो पहले कद्दू का वज़न कितना था?	X = ( 8.7 - 4 )	[1, 2]	1
1999	सिल्वरग्रोव पब्लिक लाइब्रेरी ने 2647 किताबों को खरीदने के लिए अनुदान का प्रयोग किया। अब पुस्तकालय में कुल 8582 किताबें हैं। अनुदान से पहले पुस्तकालय में कितनी किताबें थीं?	X = ( 8582 - 2647 )	[1, 0]	1
2000	डिब्बाबंद खाद्य बनाने की 1 मुहिम के दौरान खाने की चीज़ों को अलग अलग डब्बों में बाँटा गया। मुहिम के अंत में 0.125 सूप के डिब्बे, 0.125 सब्ज़ियों के डिब्बे और 0.5 पास्ता के डिब्बे बने। मुहिम के अंत में कुल कितने डिब्बे बने ?	X = ( ( 0.125 + 0.125 ) + 0.5 )	[1, 2, 3]	2
2001	नूपुर के पास अपने जैक ओ लैंटर्न के लिए कुछ मोमबत्तियाँ थीं। उसने उनमें से 32 इस्तेमाल कीं। अब उसके पास 12 बचीं। नूपुर के पास शुरुआत में कितनी मोमबत्तियाँ थीं?	X = ( 32 + 12 )	[0, 1]	1
2002	वीडियो गेम खेलते हुए, पवन ने 3103 अंक बनाए। उसके और उसके भाई के पास कुल 5816 अंक हैं। पवन के भाई के कितने अंक हैं?	X = ( 5816 - 3103 )	[1, 0]	1
2005	सुरेश और मनोज के पिताजी ने सुरेश को 200.75 रुपये और मनोज को 350.50 रुपये दिए । बताइए दोनो को कुल कितने रुपये दिए ?	X = ( 200.75 + 350.50 )	[0, 1]	1
2006	टीना 1 स्कूल की सफ़ाई कर्मचारी है। पिछले हफ़्ते उसने कचरे के 1576 बैग उठाए। इस सप्ताह उसने कचरे के 344 बैग उठाए। कुल मिलाकर उसने कितना कचरा उठाया?	X = ( 1576 + 344 )	[1, 2]	1
2007	मिस्टर ऑलसेन की गणित की कक्षा में, 0.7 छात्रों को A और 0.2 छात्रों को B मिला। कुल कितने छात्रों को A या B मिला?	X = ( 0.7 + 0.2 )	[0, 1]	1
2008	विराज ने शारीरिक शिक्षा की कक्षा में मैदान के 1.125 चक्कर लगाए और फिर 2.125 चक्कर लगाए। विराज ने कुल कितने चक्कर लगाए?	X = ( 1.125 + 2.125 )	[0, 1]	1
2009	आपकी पेंसिल की डिबिया में कुछ रंगीन पेंसिलें हैं । उनमें से 5 पेंसिलें बड़ी और 5 छोटी हैं । बताओ , कुल कितनी पेंसिलें हैं ?	X = ( 5 + 5 )	[0, 1]	1
2012	लैला ने 1 बिल्ली के खिलौने पर ₹10.22 खर्च किए और 1 पिंजरे उसे ₹11.73 का पड़ा। पिंजरे की तुलना में बिल्ली के खिलौने की कीमत कितनी कम थी?	X = ( 11.73 - 10.22 )	[3, 1]	1
2013	राजू के पास 43 रुपये थे । 28 रुपये का सामान खरीदा । कितने रुपये बचेंगे ?	X = ( 43 - 28 )	[0, 1]	1
2014	1 मैच के दौरान अयान ने नाश्ते की दुकान लगाई। उसने पहले अंतराल के दौरान लोगों को 0.25 जग नींबू पानी, दूसरे के दौरान 0.4166666666666667 जग और तीसरे के दौरान 0.25 जग पिलाया। अयान ने लोगों को नींबू पानी के कितने जग पिलाए?	X = ( ( 0.25 + 0.4166666666666667 ) + 0.25 )	[1, 2, 3]	2
2015	मालिनी 1 केक बना रही है। उसने पहले ही 8 कप आटा डाल दिया। उसने 2 कप आटा और डाला। नुस्ख़े के अनुसार कितने कप आटा चाहिए?	X = ( 8 + 2 )	[1, 2]	1
2018	शोभा 1 वर्ष में 425000 रुपये कमाती है। 223000 रुपये घर के कामों में ख़र्च हो जाते हैं। 1 साल में शोभा कितनी बचत करती है?	X = ( 425000 - 223000 )	[1, 2]	1
2019	मालिनी के पास 42 किताबें थीं। उसने जेसन को 18 किताबें दीं जिसमें से उसने 9 पढ़ी हैं। मालिनी के पास कितनी किताबें हैं?	X = ( 42 - 18 )	[0, 1]	1
2020	गीता के बटुए में 368 रुपए हैं। उसने 123 रुपए की 1 किताब खरीदी। उसके बटुए में अब कितना पैसा बचा?	X = ( 368 - 123 )	[0, 1]	1
2021	यार्डली में सुबह 0.125 इंच और दोपहर में 0.5 इंच बर्फबारी हुई। कुल कितनी बर्फबारी हुई?	X = ( 0.125 + 0.5 )	[0, 1]	1
2022	मीका के पास 40 स्टिकर थे। उसने मॉल के 1 दुकान से 26 स्टिकर खरीदे। फिर मिका ने ग्रीटिंग कार्ड को सजाने के लिए 58 का प्रयोग किया। मीका के पास कितने स्टिकर बचे हैं?	X = ( ( 40 + 26 ) - 58 )	[0, 2, 3]	2
2023	पिंकी द पिग ने 36 सेब खरीदे जबकि दक्ष द डक ने 73 खरीदे। उनके पास कितने सेब हैं?	X = ( 36 + 73 )	[0, 1]	1
2024	1 दुकानदार सफ़ेद रंग के 310 बटन, लाल रंग के 212 बटन और हरे रंग के 111 बटन लाया। उसकी दुकान पर कुल कितने बटन हैं?	X = ( ( 310 + 212 ) + 111 )	[1, 2, 3]	2
2025	क्रिस्टीन की कॉपी में 11 स्टिकर हैं। पुरस्कार पाने के लिए उसे 30 स्टिकर चाहिए। क्रिस्टीन को कितने और स्टिकर की ज़रूरत है?	X = ( 30 - 11 )	[1, 0]	1
2026	वर्ष 2001 में तलवाड़ा नगर की जनसंख्या 338401 थी । वर्ष 2011 तक जनसंख्या में 88765 की वृद्धि हो गई । वर्ष 2011 में इस नगर की जनसंख्या क्‍या थी ?	X = ( 338401 + 88765 )	[1, 3]	1
2027	श्रीमती वोंग के पास 30 तोहफ़े थे। उन्होंने अपने बच्चों को 8 तोहफ़े दिए। उनके पास अब कितने तोहफ़े बचे हैं?	X = ( 30 - 8 )	[0, 1]	1
2029	एलेन ने स्मूदी बनाई। उसने 0.2 कप स्ट्रॉबेरी, 0.1 कप दही और 0.2 कप संतरे का रस इस्तेमाल किया। स्मूदी के लिए एलेन ने कितने कप सामग्री का प्रयोग किया?	X = ( ( 0.2 + 0.1 ) + 0.2 )	[0, 1, 2]	2
2030	हरजीत के पास 9 टॉफियाँ थीं । उसने 4 टॉफियाँ अशोक को दे दी । अब उसके पास कितनी टॉफियाँ बची ?	X = ( 9 - 4 )	[0, 1]	1
2031	मेले के लिए मिठाई बनाते हुए, दर्श ने मिश्री के 0.625 प्याले के साथ साथ चीनी के 0.25 प्याले का इस्तेमाल किया। दर्श ने चीनी की तुलना में कितनी ज़्यादा मिश्री का प्रयोग किया?	X = ( 0.625 - 0.25 )	[0, 1]	1
2033	शुरूआत में एवलिन के पास 18 बोतल के ढक्कन थे। उसे 63 बोतल के ढक्कन और मिले। अंत में एवलिन के पास कितने ढक्कन हैं?	X = ( 18 + 63 )	[0, 1]	1
2034	यूजीन के पास 51 पेंसिलें थीं। उसने जॉइस को 6 दीं। यूजीन के पास कुल कितनी पेंसिलें हैं?	X = ( 51 - 6 )	[0, 1]	1
2035	अवनीत ने 1 दुकान से ₹ 1865.90 की 1 कमीज़ , ₹ 1060.30 की 1 पैंट तथा ₹ 990.10 का 1 जोड़ा बूट खरीदा । उसने कुल कितने रुपये खर्च किए ।	X = ( ( 1865.90 + 1060.30 ) + 990.10 )	[1, 3, 5]	2
2036	1 विद्यालय के पुस्तकालय में 3115 पुस्तकें पंजाबी को , 2876 पुस्तकें गणित को और 976 पुस्तकें अंग्रेज़ी की है । पुस्तकालय में कुल कितनी पुस्तकें हैं ?	X = ( ( 3115 + 2876 ) + 976 )	[1, 2, 3]	2
2037	समुद्र तट पर अजय को 15 सीपियाँ और कनिष्क को 43 सीपियाँ मिलीं। जब उन्होंने उन्हें साफ किया तो उन्हें पता चला कि 29 टूटी हुई थीं। उन्हें कुल कितनी अटूट सीपियाँ मिलीं?	X = ( 15 + 43 )	[0, 1]	1
2038	4 कार्ड थे। उनमें 3 कार्ड और जोड़े गए हैं। कुल कितने कार्ड हैं?	X = ( 4 + 3 )	[0, 1]	1
2039	बाड़ पर 12 पक्षी हैं। 8 और पक्षी बाड़ पर आते हैं। बाड़ पर कितने पक्षी हैं?	X = ( 12 + 8 )	[0, 1]	1
2040	हर्ष के पास ऑड्रे की तुलना में 34 कम गेंदें हैं। ऑड्रे के पास 41 गेंदें हैं। हर्ष के पास कितनी गेंदें हैं?	X = ( 41 - 34 )	[1, 0]	1
2041	गिन्‍नी के पास 98 रुपए हैं । जिसमें से उसने 86 रुपए की गुड़िया खरीदी । उसके पास कितने रुपए रह गए ?	X = ( 98 - 86 )	[0, 1]	1
2043	जागृति ने अपनी सभी पुरानी किताबें बेचने का फैसला किया। उसने 33 किताबों को बेचने के लिए इकट्ठा किया। उसने 1 मेले में 26 किताबें बेचीं। जागृति के पास अब कितनी किताबें हैं?	X = ( 33 - 26 )	[0, 2]	1
2044	1 छोटे शहर में 98 बिल्लियाँ हैं। अगर उनमें से 92 सो रही हैं, तो कितनी बिल्लियाँ जाग रही हैं?	X = ( 98 - 92 )	[1, 2]	1
2045	1 स्टोर में 49 क़मीज़ हैं। कुछ बेचने के बाद 28 बचीं। उन्होंने कितनी बेचीं?	X = ( 49 - 28 )	[1, 2]	1
2048	1 कार कंपनी ने उत्तरी अमरीका में 3884 और यूरोप में 2871 कारें बनाई। कुल कितनी कारें बनाईं?	X = ( 3884 + 2871 )	[1, 2]	1
2050	करण के पास ₹ 9080 रुपये थे । उसने ₹ 3705 के कपड़े खरीद लिए । उसके पास कितनी राशि शेष बची ?	X = ( 9080 - 3705 )	[0, 1]	1
2051	पल्स पोलियो अभियान के 3 चरणों में बगवास पँचायत के कुल 8976 बच्चों को पोलियो की दवा पिलाई गई । पहले चरण में 2780 बच्चों को तथा दूसरे चरण में 2925 बच्चों को पोलियो की दवा पिलाई गई | बताइए त्तीसरे चरण में कितने बच्चों को पोलियो की दवा पिलाई ?	X = ( 8976 - ( 2780 + 2925 ) )	[1, 2, 3]	2
2054	1 कुत्ते ने 10 बिस्कुट खाए। उसके मालिक ने उसे 20 बिस्कुट और दिए। उसने उसमें से 15 खा लिए। उसने कुल कितनी बिस्कुट खाए?	X = ( 10 + 15 )	[1, 3]	1
2055	पामेला ने 9.8 किलो चीनी खरीदी और फिर उसने 5.2 किलो चीनी और ख़रीदी। पामेला के पास कितनी चीनी है?	X = ( 9.8 + 5.2 )	[0, 1]	1
2056	1 किसान के पास 127 सेब और 30 संतरे थे। उसके पड़ोसी ने उसे 88 सेब और 45 संतरे दिए। अब किसान के पास कितने फल हैं?	X = ( 127 + 88 )	[1, 3]	1
2058	सुखदेव ने 247.75 रुपये कौ किताबें , 80.60 रुपये कौ कॉपियाँ तथा 35.20 रुपये के पेन खरीदे । उसने कुल कितने रुपये खर्च किए ?	X = ( ( 247.75 + 80.60 ) + 35.20 )	[0, 1, 2]	2
2063	रेयांश ने 89 पत्ते एकत्र किए। उसने 24 पत्ते खो दिए और 43 पत्ते फेंक दिए। रेयांश के पास कितने पत्ते बचे?	X = ( ( 89 - 24 ) - 43 )	[0, 1, 2]	2
2065	दराज में 11 स्केल और 34 कलम थे। टिम ने दराज में 14 स्केल रखे। अब कुल कितने स्केल हैं?	X = ( 11 + 14 )	[0, 2]	1
2066	राधा 500 मिली , 200 मिली तथा 100 मिली के 3 पात्रों को पानी में भरकर थर्मस में डालती है। तो थर्मस कितना भर जाता है ?	X = ( ( 500 + 200 ) + 100 )	[0, 1, 2]	2
2067	बडलिया गाँव में 4268 पुरूष , 4098 महिलाएँ एवं 352 बच्चे है । बताओं गाँव की कुल जनसंख्या कितनी है ?	X = ( ( 4268 + 4098 ) + 352 )	[0, 1, 2]	2
2068	सुज़ैन ने सोमवार को अपनी पुस्तक के पहले 15 पृष्ठ पढ़े। उसने मंगलवार को उससे 16 ज़्यादा पृष्ठ पढ़े। सुज़ैन ने कितने पृष्ठ पढ़े?	X = ( 15 + ( 15 + 16 ) )	[0, 0, 1]	2
2070	पप्पू ने कुछ तितलियाँ पकड़ी थीं। उसने 11 को जाने दिया और अब उसके पास 82 बची हैं। उसके पास मूल रूप से कितनी थी?	X = ( 11 + 82 )	[0, 1]	1
2071	1 अन्वेषक ने 5155 माणिकों और 45 हीरों से भरे 1 दफन ख़ज़ाने की खोज की। कुल कितने रत्न थे?	X = ( 5155 + 45 )	[1, 2]	1
2073	प्रोफेसर एलिसन ने 1 परीक्षण के लिए धातु के 2 टुकड़ों का वज़न किया। लोहे के टुकड़े का वज़न 11.166666666666666 किलो और एल्यूमीनियम के टुकड़े का वज़न 0.83333333333333333 किलो था। एल्यूमीनियम के टुकड़े की तुलना में लोहे के टुकड़े का वज़न कितना ज़्यादा था?	X = ( 11.166666666666666 - 0.83333333333333333 )	[2, 3]	1
2075	खलिहान में 64 सूअर थे। उनके पास कुछ और आते हैं। अब छियासी सूअर हैं। उनके पास कितने सूअर आए?	X = ( 86 - 64 )	['implicit', 0]	1
2076	विमल ने 1 मैच में 73 रन बनाए। उसे शतक बनाने के लिए कितने रन और बनाने हैं?	X = ( 100 - 73 )	['implicit', 1]	1
2078	1 किसान के बगीचे में 46 टमाटर थे। कुछ तोड़ने के बाद बगीचे में 3 बचे थे। उसने कितने तोड़े?	X = ( 46 - 3 )	[1, 2]	1
2082	केक बनाने की विधि के अनुसार फ्रॉस्टिंग के लिए 0.6 कप चीनी और केक के लिए 0.2 कप चीनी की आवश्यकता है। कुल मिलाकर यह कितनी चीनी है?	X = ( 0.6 + 0.2 )	[0, 1]	1
2084	श्रीमती गुप्ता ने 1 यात्रा करने से पहले अपनी गाड़ी के ओडोमीटर को देखा। ओडोमीटर से पता चला कि उन्होंने 212.3 मील की यात्रा कर चुकी हैं। जब वे दोपहर के खाने के लिए रुकीं, तो ओडोमीटर की रीडिंग 372 थी। उन्होंने कितने मील यात्रा की?	X = ( 372 - 212.3 )	[2, 1]	1
2086	अपनी फ़ाइलों को व्यवस्थित करते हुए पूजा ने 2 तस्वीरें, 8 गाने और 7 विडीयो डिलीट कर दिए। उसने कुल कितनी फाइलें डिलीट कीं?	X = ( ( 2 + 8 ) + 7 )	[0, 1, 2]	2
2089	गुरप्रीत ने 6 गाजरें उगाईं। सिद्धांत ने 3 गाजरें ले लीं। गुरप्रीत के पास कितनी गाजरें बचीं?	X = ( 6 - 3 )	[0, 1]	1
2090	रेशमा के पास 19 गुब्बारे थे और 7 गुब्बारे फूट गए अब उसके पास कितने गुब्बारे बचे ?	X = ( 19 - 7 )	[0, 1]	1
2091	दशहरे मेले को प्रथम 3 दिनों में क्रमश : 3079 , 5768 व 12306 लोगों ने देखा। बताइए इन 3 दिनों में मेला देखने कुल कितने लोग आए ?	X = ( ( 3079 + 5768 ) + 12306 )	[1, 2, 3]	2
2092	जोवाना ने 5 किलो सीपियों से अपनी बाल्टी भरी। अगर उसने अपनी बाल्टी में 12 किलो सीपियाँ और डालीं, तो उसके पास कितने किलो सीपियाँ हैं?	X = ( 5 + 12 )	[0, 1]	1
2093	केया के पास 50 कंचे हैं। उसे कितने कंचे देने की ज़रूरत है ताकि उसके पास 35 कंचे बचे रहें?	X = ( 50 - 35 )	[0, 1]	1
2094	2 पक्षी 1 पेड़ की डा़ली पर बैठे थे। 1 और पक्षी उनके साथ बैठ गया। कुल कितने पक्षी हैं?	X = ( 2 + 1 )	[0, 2]	1
2096	1 दुकानदार के पास कुल 987 कॉपियाँ थी । उनमें से उसनें 798 कॉपियाँ बेच दी । बताओं अब उसके पास कितनी कॉपियाँ शेष रही ?	X = ( 987 - 798 )	[1, 2]	1
2098	कमलेश ने 1 यात्रा की। दोपहर में उसने अपनी जैसी 4 कारें देखीं। बाद में, शाम को उसने अपनी जैसी 1 कार देखी। उसे अपनी जैसी कुल कितनी कारें दिखीं?	X = ( 1 + 4 )	[2, 1]	1
2100	रज़िया के पास 4 टॉफियाँ हैं । उसके माता जी ने उसे 5 टॉफियाँ और दे दीं । रज़ियां के पास कितनी टॉफियाँ हो गई ?	X = ( 4 + 5 )	[0, 1]	1
2102	लैला ने 1 बिल्ली के खिलौने पर ₹10.22 खर्च किए और 1 पिंजरे पर ₹11.73 ख़र्च किए। लैला की ख़रीद की कुल क़ीमत क्या थी?	X = ( 10.22 + 11.73 )	[1, 3]	1
2103	1 तालाब में 56 बतखें तैर रही थी । उनमें से 24 बतखें बाहर आ गईं । बताइए , अब तालाब में कितनी बतखें तैर रही हैं ?	X = ( 56 - 24 )	[1, 2]	1
2105	जागृति को 79 सीपियाँ मिलीं। अथर्व ने उसे 63 सीपियाँ दीं। उसके पास कुल कितनी हैं?	X = ( 79 + 63 )	[0, 1]	1
2106	ओंकार के पास 400 रुपये है । यदि 1 मीटर कपड़े का मूल्य 30 रुपये हैं , बताइए कपड़ा ख़रीदकर उसके पास कितने रुपये शेष बचेंगे ?	X = ( 400 - 30 )	[0, 2]	1
2107	केट ने क्लर्क को ₹1 दिया, उसकी टाॅफ़ी की कीमत 54 पैसे है। केट को कितना पैसा वापस मिलना चाहिए?	X = ( 1.00 - 0.54 )	[0, 'implicit']	1
2108	1 विद्यालय में पहली में 22 , दूसरी में 25 तथा तीसरी में 23 बच्चे हैं। स्कूल में कितने बच्चे हैं ?	X = ( ( 22 + 25 ) + 23 )	[1, 2, 3]	2
2109	जॉइस के पास 75 सेब थे। उसने लैरी को 52 दिए। अंत में जॉइस के पास कितने सेब हैं?	X = ( 75 - 52 )	[0, 1]	1
2110	मेज़ की लंबाई 10 बालिश्तें है , ब्लैकबोर्ड की लंबाई 20 बालिश्तें है । ब्लैकबोर्ड की लंबाई कितने बालिश्तें कम है ?	X = ( 20 - 10 )	[1, 0]	1
2111	पार्क कार्यकर्ता ने आज 57 छोटे पेड़ लगाए हैं। आज लगाए गए 57 और पहले से मौजूद 41 पेड़ों की संख्या के बीच क्या अंतर है?	X = ( 57 - 41 )	[1, 2]	1
2112	पार्क में 6 अखरोट के पेड़ हैं। पार्क के कार्यकर्ता आज 4 पेड़ हटाएँगे। कार्यकर्ताओं का काम समाप्त होने के बाद पार्क में कितने अखरोट के पेड़ होंगे?	X = ( 6 - 4 )	[0, 1]	1
2113	फिर उन्होंने अपने कार्यालय के पास 1 नर्सिंग होम की मदद की। वहाँ उन्होंने विटामिन के 472 बक्से और बाक़ी दवाइयों के 288 बक्से भेजे। श्री एंडरसन ने नर्सिंग होम को कुल कितने बॉक्स दवा भेजी?	X = ( 472 + 288 )	[1, 2]	1
2115	खेल के मैदान में 28 लड़कियाँ और 35 लड़के थे। खेल के मैदान में कुल कितने बच्चे थे?	X = ( 28 + 35 )	[0, 1]	1
2117	1 पेट्री डिश में 600 बैक्टीरिया थे। 1 वैज्ञानिक ने बैक्टीरिया को बढ़ने दिया और अब 8917 हैं। पहले से कितने ज़्यादा बैक्टीरिया हैं?	X = ( 8917 - 600 )	[3, 1]	1
2119	राज्य में सत्र 2014 15 में 1238792 विद्यार्थियों को छात्रवृत्ति प्रदान की गई । सत्र 2015 16 में 1792304 विद्यार्थियों को छात्रवृत्ति प्रदान की गई । बताओ 2015 16 में कितनी अधिक छात्रवृत्तियाँ प्रदान की गई ?	X = ( 1792304 - 1238792 )	[5, 2]	1
2120	सारा के पास 792 काले कंचे थे। कनिष्क ने सारा को 233 काले कंचे दिए। सारा के पास अब कितने काले पत्थर हैं?	X = ( 792 + 233 )	[0, 1]	1
2121	वर्तमान में पार्क में 7 पीपल के पेड़ हैं। पार्क कर्मचारी आज 5 पीपल के पेड़ लगाएँगे और कल 4 पीपल के पेड़ हटाएँगे। काम खत्म करने के लिए 8 मज़दूर लगे। मज़दूरों का काम खत्म होने पर कितने पीपल के पेड़ होंगे?	X = ( ( 7 + 5 ) - 4 )	[0, 1, 2]	2
2123	नीना ने फ़ुटबॉल सीज़न की तैयारी के लिए दौड़ लगाई। सबसे पहले, नीना 0.08333333333333333 मील दौड़ी। फिर वह 0.08333333333333333 मील और 0.6666666666666666 मील दौड़ी। नीना कुल कितने मील दौड़ी?	X = ( ( 0.08333333333333333 + 0.08333333333333333 ) + 0.6666666666666666 )	[0, 1, 2]	2
2125	जागृति के पास 9 नीले रंग के गुब्बारे थे। सैली ने जागृति को 5 नीले रंग के गुब्बारे दिए। जागृति ने फिर लैला को 2 नीले गुब्बारे दिए। जागृति के पास अब कितने नीले गुब्बारे हैं?	X = ( ( 9 + 5 ) - 2 )	[0, 1, 2]	2
2127	1 कार कंपनी ने उत्तरी अमरीका में 3884 कारें बनाई, लेकिन यूरोप में 2871 कारों को वापस बुलाया गया। कितनी कारें सफलतापूर्वक बनाई गईं?	X = ( 3884 - 2871 )	[1, 2]	1
2128	1 फल वाले केपास 90 आम थे। इनमें से उसने 72 आम बेच दिए। बताओ अब उसके पास कितने आम बचे?	X = ( 90 - 72 )	[1, 2]	1
2129	ग्रेसी की सड़क बनाने के लिए रोडस्टर पेविंग कंपनी ने 10 टन सीमेंट का प्रयोग किया और टेस की सड़क बनाने के लिए 5.1 टन सीमेंट का प्रयोग किया। रोडस्टर पेविंग कंपनी ने कुल कितना सीमेंट इस्तेमाल किया?	X = ( 10 + 5.1 )	[0, 1]	1
2131	आप 1 लंबी सैर के लिए निकले। आप 0.75 मील चले और फिर आराम करने के लिए बैठ गए। फिर आप 0.25 मील चले। आप कुल मिलाकर कितना चले?	X = ( 0.75 + 0.25 )	[1, 2]	1
2132	लूसी के पास 212 मछलियाँ हैं। वह और कितनी मछलियाँ खरीदे की उसके पास 280 मछलियाँ हो जाएँ?	X = ( 280 - 212 )	[1, 0]	1
2133	मिल्ड्रेड का वज़न 59 किलो है। आशा का वज़न 9 किलो है। आशा और मिल्ड्रेड का साथ में कितना वज़न होगा?	X = ( 59 + 9 )	[0, 1]	1
2134	ज़ोया की कालोनी में, कालोनी का 0.16666666666666666 भाग 1 बेडरूम के अपार्टमेंट हैं और 0.33333333333333 भाग 2 बेडरूम के अपार्टमेंट हैं। कालोनी के कितने भाग में 1 या 2 बेडरूम के अपार्टमेंट हैं?	X = ( 0.16666666666666666 + 0.33333333333333 )	[0, 2]	1
2135	पहले मैच में मिली हार से दुखी, ब्लू टीम ने पीली टीम के खिलाफ़ अपने अगले मैच में जीतने का दृढ़ संकल्प लिया। उन्होंने 72 रन बनाए और पीली टीम ने 55 रन बनाए। वे कितने रन से जीते?	X = ( 72 - 55 )	[0, 1]	1
2136	1 दुकानदार के पास 720 पंखे हैं। उसने गर्मियों में 450 पंखे बीच दिए। उसके पास कुल कितने पंखे बचे?	X = ( 720 - 450 )	[1, 2]	1
2139	3 पर्दे सिलवाने के लिये 128 मीटर कपड़े की आवश्यकता है । और 5 शमियानों के लिये 276 मीटर कपड़े की आवश्यकता है , तो बताओ पर्दों एवं शामियानो में कुल कितना कपड़ा लगेगा ।	X = ( 128 + 276 )	[1, 3]	1
2141	ओजस्वी के कुत्ते के बच्चे हुए। उसने अपने दोस्तों को उनमें से 7 दिए। उसके पास अब 5 हैं। पहले उसके पास कितने कुत्ते के बच्चे थे?	X = ( 7 + 5 )	[0, 1]	1
2142	मीका के पास 20 स्टिकर थे। उसने मॉल के 1 दुकान से 26 स्टिकर खरीदे और उसे जन्मदिन पर 20 स्टिकर मिले। मीका के पास कितने स्टिकर हैं?	X = ( ( 20 + 26 ) + 20 )	[0, 2, 3]	2
2143	पामेला के पास 50 मिठाइयाँ थीं। उसने परी को 7 दीं। पामेला के पास अब कितनी मिठाइयाँ हैं?	X = ( 50 - 7 )	[0, 1]	1
2144	मेले में बम्पर कारों के लिए 9 लोगों की क़तार थी। यदि उनमें से 6 प्रतीक्षा करते करते थककर चले गए और 3 और क़तार में लग गए, तो क़तार में कितने लोग होंगे?	X = ( ( 9 + 3 ) - 6 )	[0, 2, 1]	2
2145	शुरूआत में विलियम के पास 15 टिकटें थीं। उसने 3 और खरीदीं। अंत में विलियम के पास कितनी टिकटें हैं?	X = ( 15 + 3 )	[0, 1]	1
2147	केया के पास 121 निंटेंडो गेम हैं। केया को कितने देने की ज़रूरत है ताकि केया के पास 22 गेम बचें?	X = ( 121 - 22 )	[0, 1]	1
